Iter 261 | Total: 22.5801 | Shared: 4.5386 | rgb: 4.4018 | pose: 4.2920 | depth: 4.6686 | ir: 4.6790
Iter 271 | Total: 23.6077 | Shared: 4.7555 | rgb: 4.5833 | pose: 4.8727 | depth: 4.7932 | ir: 4.6030
Iter 281 | Total: 23.1478 | Shared: 4.8131 | rgb: 4.4504 | pose: 4.5317 | depth: 4.9250 | ir: 4.4276
Iter 291 | Total: 21.4891 | Shared: 4.3855 | rgb: 4.2136 | pose: 3.8575 | depth: 4.5645 | ir: 4.4680
Iter 301 | Total: 22.9343 | Shared: 4.7148 | rgb: 4.4921 | pose: 4.4669 | depth: 4.6843 | ir: 4.5763
Iter 311 | Total: 21.7414 | Shared: 4.7669 | rgb: 3.8660 | pose: 4.0845 | depth: 4.6459 | ir: 4.3781
Iter 321 | Total: 24.2129 | Shared: 5.0750 | rgb: 4.5929 | pose: 4.8743 | depth: 4.8739 | ir: 4.7968
Iter 331 | Total: 21.7938 | Shared: 3.9807 | rgb: 4.5509 | pose: 4.1258 | depth: 4.7259 | ir: 4.4105
Iter 341 | Total: 22.2154 | Shared: 4.8644 | rgb: 4.3857 | pose: 4.2760 | depth: 4.6144 | ir: 4.0748
Iter 351 | Total: 20.9428 | Shared: 3.9927 | rgb: 4.0142 | pose: 4.0884 | depth: 4.6995 | ir: 4.1479
Iter 361 | Total: 22.1073 | Shared: 4.2433 | rgb: 4.5278 | pose: 4.2774 | depth: 4.7305 | ir: 4.3283
Iter 371 | Total: 24.0416 | Shared: 5.2990 | rgb: 4.6136 | pose: 4.6972 | depth: 4.8707 | ir: 4.5611
Iter 381 | Total: 24.9569 | Shared: 5.6856 | rgb: 4.3613 | pose: 5.5840 | depth: 4.8476 | ir: 4.4784
Iter 391 | Total: 22.1775 | Shared: 3.8050 | rgb: 4.5981 | pose: 4.6799 | depth: 4.8947 | ir: 4.1998
Iter 401 | Total: 19.9364 | Shared: 3.6301 | rgb: 4.0857 | pose: 3.7913 | depth: 4.6753 | ir: 3.7540
Iter 411 | Total: 23.8512 | Shared: 4.7677 | rgb: 4.7429 | pose: 4.3744 | depth: 5.0905 | ir: 4.8756
Iter 421 | Total: 23.4166 | Shared: 5.0167 | rgb: 4.4948 | pose: 4.6569 | depth: 4.9104 | ir: 4.3377
Iter 431 | Total: 22.2680 | Shared: 4.6137 | rgb: 4.3958 | pose: 4.3128 | depth: 4.7013 | ir: 4.2443
Iter 441 | Total: 23.4737 | Shared: 4.7560 | rgb: 4.5391 | pose: 4.8454 | depth: 4.8084 | ir: 4.5248
Iter 451 | Total: 24.5890 | Shared: 4.8774 | rgb: 5.0491 | pose: 4.7498 | depth: 5.1792 | ir: 4.7335
Iter 461 | Total: 20.1472 | Shared: 4.1021 | rgb: 3.7350 | pose: 3.9437 | depth: 4.6026 | ir: 3.7638
